TOMINTOUL INCHRORY,,,,,,,,,,
Grid ref,NJ 17894 08095,Long,-3.358928,Lat,57.156354,Elevation,1310,ft,,
Station no,RR8779,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.8,1.66,,,,,,,,
February,5.36,1.96,,,,,,,,
March,1.73,,,,,,,,,
April,3.32,,,,,,,,,
May,3.29,,,,,,,,,
June,2.72,,,,,,,,,
July,2.65,,,,,,,,,
August,3.48,,,,,,,,,
September,4.35,,,,,,,,,
October,3.3,,,,,,,,,
November,4.35,,,,,,,,,
December,8.02,,,,,,,,,
Total,44.37,,,,,,,,,
,,,,,,,,,,
1870 -999 Mar corrected,,,,,,,,,,
BR 1870 NP Jan Estd,,,,,,,,,,
but see pg 171 ,,,,,,,,,,
1871 Mar G moved to Tomintoul,,,,,,,,,,
