FORT AUGUSTUS (ST BENEDICT'S),,,,,,,,,,
Grid ref,NH381091,Long,-4.677424,Lat,57.144163,Elevation,68,ft,,
Station no,5702,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.29,3.81,3.04,3.22
February,,,,,,,3.7,1.69,2.4,2.81
March,,,,,,,3.66,1.24,2.36,0.82
April,,,,,,,1.2,2.94,3.9,3.6
May,,,,,,,1.13,4.2,1.43,1.12
June,,,,,,,2.16,1.89,3.31,2.81
July,,,,,,,4.14,2.61,3.44,2.31
August,,,,,,,4.72,3.93,2.54,4.97
September,,,,,,,2.97,3.77,0.97,3.05
October,,,,,,,5.18,6.24,6.69,1.34
November,,,,,,3.93,1.91,1.21,6.04,3.54
December,,,,,,9.2,5.87,4.67,6.49,5.98
Total,,,,,,,44.93,38.2,42.61,35.57
,,,,,,,,,,
Moved 50yds N,,,,,,,,,,
