SHELDWICH-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR011567,Long,0.881718,Lat,51.27395,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,4.7,2.8,1.88,3.71,0.8,6.52,1.27,2.89,0.15,1.41,1.43,2.11,2.35,2.9,4.82,1.72,0.77,0.86,2.62,2.72,0.46,2.85,3.77,2.34,1.11,2.48,0.51,3.06,4.05,0.9,1.31,2.6,4.35,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.22,2.3,1.57,0.96,3.42,1.57,1.69,3.81,3.07,0.9,1.64,4.19,1.91,3.51,0.55,0.68,2.43,2.61,0.89,0.03,2.45,5.19,1.85,0.64,0.35,3.41,1.14,3.32,6.25,2.4,1.17,1.65,3.46,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.96,2.14,0.7,1,3.26,3.18,2.5,0.73,0.47,0.75,1.63,1.31,0.7,1.59,1.41,1.89,4.31,2.34,2.92,2.51,2.63,0.57,1.79,1.43,3.01,4.83,1.61,1.12,1.58,2.39,1.66,2.68,2.26,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.72,0.99,2.67,1.72,2.57,2.54,1.26,2.58,1.68,0.35,3.28,2.43,1.85,1.31,1.73,2.16,1.45,2.47,2.64,0.74,1.44,0.03,2.4,1.89,0.96,1.71,1.3,3.21,1.51,2.45,0.6,2.35,1.38,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,4.27,1.39,1.24,0.76,2.59,2.43,4.04,2.84,0.3,1.24,1.33,2.26,0.6,3.16,2.66,2.1,0.79,2.26,1.73,3.19,0.67,0.96,2.87,0.22,0.21,1.32,3.78,2.02,0.99,0.83,2.06,4.22,1.98,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.72,2.28,2.25,2.27,2.06,0.8,1.58,2.81,3.2,3.35,3.31,1.81,0.91,1.11,0.49,1.62,3.15,2.87,2.47,2.29,3.57,0.84,2.47,0.5,3.61,2.65,3.18,1.26,3.06,1.04,2.73,4.93,1.41,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.8,1.4,1.04,5.66,0.8,2.6,1.35,3.55,2.38,1.41,2.08,2.83,1.61,0.26,2.92,1.37,5.75,1.81,5.16,4.08,2.64,3.08,5.4,3.63,1.64,0.72,0.64,0.87,1.37,2.18,1.53,6.25,1.59,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,1.83,1.84,1.93,2.14,1.76,2.64,2.54,3.69,1.31,3.41,1.77,0.69,0.82,1.33,1.81,2.22,1.75,2.92,4.22,3.65,5.01,0.92,2.46,1.84,3.84,3.02,1.59,0.7,2.3,2.02,3.43,3.94,2.76,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.71,2.46,3.99,1.86,3.67,1.15,1.22,3.05,3.39,2.71,3.65,3.38,4.02,4.56,1.85,3.21,1.06,2.08,1.53,0.86,2.17,2.69,3.68,0.67,4.88,2.85,0.61,2.75,1,1.33,1.4,2.09,1.66,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.11,4.51,3.36,4.36,0.73,2,2.73,0.46,7.86,4.67,6.75,2.08,1.97,4.51,2.76,2.37,2,6.56,1.17,5.77,7.35,3.34,4.35,4.06,6.17,0.36,2.45,2.94,1.88,2.34,2.06,5.16,1.91,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,6.71,1.83,1.89,6.74,2.95,6.13,5.44,0.62,3.42,3.31,3.51,4.07,1.42,2.33,3.19,5.43,4.17,1.46,3.35,2.59,2.93,4.02,4.47,3.24,1.59,1.19,3.49,3.78,3.17,1.09,1.92,3.23,1.54,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,6.16,0.43,2.8,1.88,5.67,2.59,2.08,1.17,3.08,3.92,3,1.49,3.58,1.02,6.45,2.6,1.92,2.07,0.85,3.94,2.68,2.99,1.8,2.18,4.27,3.75,2.19,2.17,3.2,5.64,2.42,2.05,3,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21,24,39.91,24.37,25.32,33.06,30.28,34.15,27.7,28.2,30.31,27.43,33.38,28.65,21.74,27.59,30.64,27.37,29.55,30.31,29.55,32.37,34,27.48,37.31,22.64,31.64,28.29,22.49,27.2,30.36,24.61,22.29,41.15,27.3,28.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
