LINCOLN - BRANT ROAD,,,,,,,,
Grid ref,SK963666,Long,-0.560,Lat,53.188,Elevation,34,ft
Station no,2556,,,,,,,
,,,,,,,,
,1955,1956,1957,1958,1959,1960,,
January,,3.56,1.06,2.17,2.69,4.60,,
February,,0.74,2.24,3.44,0.30,1.85,,
March,,0.80,1.36,2.02,2.13,1.48,,
April,,1.18,0.16,0.38,1.57,1.18,,
May,,0.44,1.60,2.09,0.85,0.72,,
June,,3.73,1.81,4.09,0.62,0.91,,
July,,2.60,2.62,4.77,1.32,4.06,,
August,0.18,5.39,2.44,2.32,0.61,5.69,,
September,1.09,1.57,3.94,1.88,0.05,2.44,,
October,0.88,1.06,0.99,1.33,1.97,4.85,,
November,1.25,1.52,2.32,0.84,2.02,3.12,,
December,1.31,1.29,1.46,2.96,3.43,3.00,,
Total,,23.88,22.00,28.29,17.56,33.90,,
,,,,,,,,
TYRain_1951-1960_15_pt1/220,,,,,,,,
,,,,,,,,
# The gauge came from Swallowbeck in the summer of 1955.,,,,,,,,
"# The 1950s rainfall sheet is shared with Redcote, Swallowbeck.",,,,,,,,
#,,,,,,,,
# The station continued until 1978 according to MIDAS.,,,,,,,,
