DUNNINGTON (Short record),,,,,,,,,,
Grid ref,SE674533,Long,-0.974,Lat,53.971,Elevation,110,ft,,
Station no,3385,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,0.69,,,,,,
February,,,,1.20,,,,,,
March,,,,1.31,,,,,,
April,,,,0.89,,,,,,
May,,,,1.88,,,,,,
June,,,,0.80,,,,,,
July,,,,2.40,,,,,,
August,,,,1.49,,,,,,
September,,,,1.63,,,,,,
October,,,,1.90,,,,,,
November,,,,1.08,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1870-1879_08_pt2/017,,,,,,,,,,
,,,,,,,,,,
# The sheet is labelled 'Hull Dunnington' which is confusing as Dunnington is near York and is some way from Hull.,,,,,,,,,,
# No detailed location on the sheet: it might be Dunnington Hall or in Dunnington village.,,,,,,,,,,
#,,,,,,,,,,
# Grid reference is for Dunnington Hall,,,,,,,,,,
