"DUNNINGTON HALL [YORK]",,,,,,,,,,,,
Grid ref,SE675533,Long,-0.972452,Lat,53.971374,,,,,,,
Station no,3385,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.02,0.48,2.88,0.66,1.20,0.70,,
February,,,,,1.95,0.61,1.67,1.00,1.75,0.75,,
March,,,,,1.51,1.46,1.47,1.32,2.65,3.17,,
April,,,,,1.21,2.21,0.71,1.52,2.16,2.11,,
May,,,,,2.36,0.87,1.99,3.23,2.36,1.56,,
June,,,,,1.03,1.80,1.11,2.86,1.16,2.61,,
July,,,,,1.90,1.53,1.27,1.48,2.47,2.65,,
August,,,,,3.26,3.25,1.68,2.04,2.02,3.93,,
September,,,,,1.27,2.33,0.51,0.86,1.91,1.46,,
October,,,,,0.61,1.46,4.81,3.72,0.93,2.39,,
November,,,,,1.52,3.04,2.82,2.87,1.80,0.45,,
December,,,,,1.46,0.24,1.68,3.04,1.68,4.45,,
Total,,,,,20.10,19.28,22.60,24.60,22.09,26.23,,
Calc annual,0.00,0.00,0.00,0.00,20.10,19.28,22.60,24.60,22.09,26.23,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
