FINDERN-MILL-HILL-FARM,,,,,,,,,,
Grid ref,SK303307,Long,-1.5512815,Lat,52.872926,Elevation,243,ft.,,
Station no,RR7998,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1,1.98,1.37,0.99,3.46,-999,1.03,1.21
February,,,1.27,1.04,3.24,0.81,2.77,-999,1.19,0.62
March,,,1.28,3.17,1.51,2.58,1.53,1.32,2.76,2.99
April,,,2.31,1.74,1.4,1.68,0.69,1.42,2.53,1.09
May,,,2.64,2.84,1.17,0.46,1.89,3.54,2.65,1.46
June,,,2.74,1.04,0.45,1.79,1.98,3.05,1.8,2.61
July,,,1.63,2.4,2.11,0.83,0.64,2.38,2.55,3.65
August,,,3.61,4.62,3.33,3.24,0.79,3.44,4.51,2.34
September,,,1.49,2.75,1.84,1.34,0.88,0.72,1.81,2.45
October,,,2.27,4.95,0.72,1.32,4.76,3.85,1.14,3.37
November,,,1.66,2.12,1.36,2.45,2.71,1.88,1.55,0.6
December,,,1.52,1.15,1.44,0.64,2.77,2.8,1.62,3.87
Total,,,23.42,29.8,19.94,18.13,24.87,27.13,25.14,26.26
,,,,,,,,,,
NGR appears to be Findern Mill Farm. Altitudes match,,,,,,,,,,
