LEEK-THE-HOLLIES,,,,,,,,,,
Grid ref,SK005602,Long,-1.9939802,Lat,53.138952,Elevation,694,ft.,,
Station no,2373/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.62,3.88,,6.1
February,,,,,,,2.86,7.03,0.92,2.49
March,,,,,,,4.17,2.06,2.21,1.62
April,,,,,,,0.51,1.72,3.3,1.83
May,,,,,,,1.7,4.19,1,2.26
June,,,,,,3.21,2.58,5.81,2,2.18
July,,,,,,5.67,5.77,5.23,2.46,5.22
August,,,,,,9.58,6.16,3.11,0.53,5.04
September,,,,,,3.12,8.05,5.76,0.2,4.62
October,,,,,,3.2,3.55,4.22,3.29,6.06
November,,,,,,2.05,2.37,1.84,4.94,5.72
December,,,,,,4.91,3.99,4.08,6.26,4.68
Total,,,,,,,44.33,48.93,,47.82
,,,,,,,,,,
NGR is from the 1950s record and is 170m NE of The Hollies. Altitudes match.,,,,,,,,,,
"MIDAS src_id 3179 ends 1981 and places gauge 100m W, did gauge move?",,,,,,,,,,
