"FULBOURN (HOSPITAL)",,,,,,,,,,,,
Grid ref,TL499563,Long,0.191202,Lat,52.184582,,,,,,,
Station no,1199,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.14,1.40,0.96,1.03,1.87,2.63,1.20,1.93,2.73,1.56,,
February,2.41,0.64,1.22,1.55,1.55,0.78,1.69,2.26,0.11,1.27,,
March,3.00,2.60,0.45,1.88,1.26,0.49,1.33,0.73,2.30,1.69,,
April,3.07,1.31,2.28,0.36,0.48,1.09,0.08,1.01,1.95,0.48,,
May,2.27,1.48,1.75,3.05,2.23,0.73,0.75,2.60,1.03,0.75,,
June,1.65,1.59,2.21,1.95,1.97,1.84,1.39,5.46,1.78,1.46,,
July,1.70,0.56,2.26,3.01,0.15,2.84,2.74,2.49,3.65,4.76,,
August,3.34,3.07,2.92,4.04,1.04,3.90,2.03,2.72,0.85,2.70,,
September,2.54,2.41,1.10,1.76,2.09,1.38,3.40,2.23,0.04,5.00,,
October,1.12,1.80,2.63,1.66,3.05,1.01,1.67,1.93,1.54,4.62,,
November,2.98,2.77,1.21,3.15,0.58,0.89,1.20,1.96,1.21,3.42,,
December,1.38,2.02,0.71,1.68,1.49,2.02,1.60,3.79,3.12,2.79,,
Total,27.60,21.65,19.70,25.12,17.76,19.60,19.08,29.11,20.31,30.50,,
Calc annual,27.60,21.65,19.70,25.12,17.76,19.60,19.08,29.11,20.31,30.50,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
