CALDY-ISLAND,,,,,,,,,,
Grid ref,SS142960,Long,-4.6860501,Lat,51.632047,Elevation,173,ft,,
Station no,RR6443,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,4.64,4.69,,,
February,,,,,,3.99,3.76,,,
March,,,,,,2.78,3.66,,,
April,,,,,,1.2,1.69,,,
May,,,,,,4.01,0.82,,,
June,,,,,,0.66,2.53,,,
July,,,,,,2.71,1.35,,,
August,,,,,,4.14,4.3,,,
September,,,,,,0.26,7,,,
October,,,,,,5.77,1.65,,,
November,,,,,,3.96,3.51,,,
December,,,,,,2.24,4.35,,,
Total,,,,,,36.36,39.31,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1865 Total corrected,,,,,,,,,,
