KENSINGTON-EDITH-ROAD-2ND-GAUGE,,,,,,,,,,
Grid ref,TQ241785,Long,-0.21384269,Lat,51.491835,Elevation,13,ft.,,
Station no,RR2395,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,0.75
February,,,,,,,,,,2.02
March,,,,,,,,,,1.2
April,,,,,,,,,,1.85
May,,,,,,,,,,3.09
June,,,,,,,,,,1.81
July,,,,,,,,,,3.27
August,,,,,,,,,,1.72
September,,,,,,,,,,1.51
October,,,,,,,,,,3.82
November,,,,,,,,,,0.67
December,,,,,,,,,,1.21
Total,,,,,,,,,,22.92
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is 30 Edith Road where the oberver, G Searle lived. Altitudes match",,,,,,,,,,
