BONCHURCH-THE-LILLIES,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ577782,Long,-1.1853,Lat,50.60131,Elevation,300,ft,,,,,,,,,,,,
Station no,RR8485,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.13,3.73,0.94,2.78,0.94,3.37,3.93,1.07,,,,,,,,
February,,,,,2.92,0.12,0.2,3.59,1.79,2.89,5.55,1.25,,,,,,,,
March,,,,,1.31,1.9,2.88,4.4,0.52,0.52,1.21,2.29,,,,,,,,
April,,,,,1.81,2.24,0.55,2.24,1.36,2.88,1.49,2.53,,,,,,,,
May,,,,,1.43,0.19,0.45,2.09,4.09,1.25,1.19,0.54,,,,,,,,
June,,,,,2.19,0.79,2.03,3.66,2.06,1.02,3.01,1.94,,,,,,,,
July,,,,,5.56,3.78,1.73,0.32,0.32,0.42,0.9,4.21,,,,,,,,
August,,,,,2.63,2.14,1.75,2.43,1.69,0.24,2.1,1.74,,,,,,,,
September,,,,,4.1,0.48,7.24,2.49,1.07,3.46,0.86,2.12,,,,,,,,
October,,,,,4.93,4.3,4.06,0.43,3.54,2.68,2.7,3.42,,,,,,,,
November,,,,,4.57,5.03,0.89,2.12,4.77,3.03,3.31,0.62,,,,,,,,
December,,,,,2.64,3.87,3.93,3.35,3.23,1.51,3.73,3.55,,,,,,,,
Total,,,,,38.22,28.57,26.65,29.9,25.38,23.27,29.98,25.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The Lillies marked on 1866 OS map,,,,,,,,,,,,,,,,,,,,
1902 Station terminated Observer moved,,,,,,,,,,,,,,,,,,,,
