Rainfall at,HELENSBURGH ( VALVE HOUSE ) M.W.R.,
Grid ref,NS303836,Long,-4.723906,Lat,56.015189
Station no,5320,
,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.40,5.61,2.95,7.74,3.23,4.51,7.79,5.37,2.55,4.79,
February,3.43,2.26,2.61,5.53,3.35,1.88,4.29,3.53,2.07,4.34,
March,3.57,4.18,1.88,3.39,2.11,3.20,6.65,1.34,3.24,3.11,
April,2.89,2.80,2.56,3.20,3.66,2.06,2.74,2.04,3.90,4.96,
May,2.33,1.70,3.43,4.69,3.48,3.03,2.87,4.55,1.43,2.85,
June,2.01,3.31,1.51,3.33,3.76,2.69,2.55,3.51,2.58,3.53,
July,3.67,2.78,6.00,4.17,1.44,5.37,6.78,5.52,7.07,4.92,
August,3.95,5.01,4.72,5.43,1.15,5.80,4.49,6.21,1.67,3.14,
September,4.32,3.55,5.76,8.07,5.02,5.19,3.16,4.68,1.83,3.24,
October,1.92,5.81,3.98,10.35,5.01,4.45,5.60,5.31,4.71,3.56,
November,7.59,3.54,9.05,6.81,2.74,2.77,2.14,2.34,5.39,6.06,
December,9.59,7.00,5.71,8.78,8.38,7.49,5.81,5.65,8.55,5.12,
Total,51.67,47.55,50.16,71.49,43.33,48.44,54.87,50.05,44.99,49.62,
Calc annual,51.67,47.55,50.16,71.49,43.33,48.44,54.87,50.05,44.99,49.62,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,
