DYLIFFE-OBSERVER-G-SYMONS,,,,,,,,,,,
Grid ref,SN858942,Long,-3.6850344,Lat,52.533654,Elevation,1400,ft.,,,
Station no,RR2419,,,,,,,,,,
,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890
January,,1.7,5.7,6.9,13.3,6.7,6.2,3.5,2.5,4.7,10.5
February,,11.2,-999,5.6,6,,-999,2.3,0.5,4.1,3.3
March,,4.5,-999,1.7,2.4,2.8,-999,2.3,3.5,4.8,4.5
April,,1.9,5.3,0.6,1.2,1.8,2,2.2,-999,5.4,3.7
May,,9,5.5,2.3,4.8,3.7,6,2.4,-999,4,1.5
June,,3,7,4.3,1.2,2.4,0.5,0.8,4.5,0.8,2.5
July,,5.8,-999,4.7,4.2,3.1,-999,3.6,5,5.7,2.5
August,,1.3,-999,10.7,3,6.7,-999,-999,-999,6.8,4.2
September,,1.7,5,7.5,4.4,-999,6.2,-999,-999,6.8,
October,,8,10.8,7.7,5,-999,-999,5.5,5.5,5.2,
November,,10.2,12.5,9.8,5,7.5,-999,5.2,9.6,-999,
December,,11,13,8.5,12.8,2.5,8.8,8,6.3,-999,
Total,,69.3,96.7,70.3,63.3,,60.8,41.3,50.9,58.1,
,,,,,,,,,,,
NOTES,,,,,,,,,,,
NGR is the lead works in Dyliffe at about the right altitude. There are many mine workings in Dylife and NGR could be +/-500m,,,,,,,,,,,
"The observer notes the following combined readings Feb/Mar 1882 15.90, Jul/Aug 16.0, Sep/Oct 1885 17.30, Feb/Mar 1886 7.8, Jul/Aug 1886 8.1, Oct/Nov 1886 15.2, Aug /Sep 1887 5.5, Apr/May 1888 6/0, Aug/Sep 1888 7.5 and Nov/Dec 1889 9.8",,,,,,,,,,,
1890 data is written below the 1880s records,,,,,,,,,,,
