ALNWICK BONDGATE,,,,,,,,,,
Grid ref,NU187133,Long,-1.706185,Lat,55.41327,Elevation,214,ft,,
Station no,RR2741,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.19,0.79,2.46,,,,,,
February,,4.08,1.11,2.59,,,,,,
March,,3.71,1.57,2.12,,,,,,
April,,1.21,4.2,1.26,,,,,,
May,,3.08,2.67,2,,,,,,
June,,1.72,3.77,2.17,,,,,,
July,,3.14,2.81,4.15,,,,,,
August,,6.07,2.57,2.2,,,,,,
September,,6.32,1.25,4.23,,,,,,
October,,3.08,3.54,2.41,,,,,,
November,,3.41,3.71,1.63,,,,,,
December,,2.61,4.88,2.34,,,,,,
Total,,40.62,32.87,29.56,,,,,,
