"HAMPTON",,,,,,,,,,,,
Grid ref,TQ131700,Long,-0.374931,Lat,51.417743,,,,,,,
Station no,833,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.30,0.62,1.84,0.96,,
February,,,,,,,1.76,1.26,0.89,0.43,,
March,,,,,,,1.14,0.86,2.37,2.91,,
April,,,,,,,0.40,3.46,2.58,1.39,,
May,,,,,,,2.34,1.73,1.78,1.49,,
June,,,,,,,2.53,2.15,2.41,4.08,,
July,,,,,,,0.93,1.39,2.53,3.36,,
August,,,,,,,1.07,2.15,2.90,1.70,,
September,,,,,,,2.30,0.51,1.49,2.32,,
October,,,,,,,3.42,3.87,2.37,3.24,,
November,,,,,,,4.00,1.94,0.63,0.74,,
December,,,,,,,1.92,2.79,1.99,2.30,,
Total,,,,,,,25.11,22.73,23.78,24.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.11,22.73,23.78,24.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
