HAMPTON-WW,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ135694,Long,-0.36937305,Lat,51.412271,Elevation,34,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,1.37,1.7,0.34,1.15,2.59,0.98,0.45,1.64,0.76,2.03,2.64,0.6,0.53,2.44,2.17,0.85,2.84,0.5,1.37,
February,0.62,0,0.84,2.17,1.19,0.1,0.21,1.3,0.91,1.83,3.06,0.9,0.66,0.78,1.99,0.56,1.38,0.95,0.77,
March,1.16,1.51,2.08,0.15,0.75,0.96,2.58,3.21,0.95,0.29,0.89,1.5,1.53,1.98,0.9,2.88,0.81,0.48,2.02,
April,1.36,0.82,0.72,0.01,1.74,1.51,0.44,1.65,0.91,1.92,0.69,1.53,0.52,1.71,0.73,1.29,0.24,2.9,2.09,
May,1.4,2.29,0.98,1.14,1.32,0.47,0.95,1.38,2.28,1.14,1.24,0.31,1.94,2.08,2,0.4,1.93,1.68,1.44,
June,3.04,1.36,2.21,0.71,1.94,0.16,1.1,3.88,1.05,1.15,2.09,1.28,3.52,6.32,0.68,4.53,2.31,1.8,2.37,
July,4.1,3.04,1.66,1.55,3.42,3.81,1.27,1.28,0.38,0.8,1.2,2.62,1.23,3.67,1.88,0.65,0.61,1.05,2.35,
August,1.52,3.4,2.86,1.19,2.39,2.62,2.74,2.55,1.23,0.27,2.5,1.76,3.61,3.55,0.88,2.42,0.81,2.05,2.93,
September,0.95,0.93,2.1,0.73,0.96,1.03,5.8,1.78,0.44,2.41,0.69,1.03,2.52,2.2,1.43,1.61,2.2,0.41,1.5,
October,0.78,5.17,2.94,3.48,3.78,2.55,2.25,0.71,3.05,1.67,1.36,1.34,1.16,5.96,1.45,1.21,2.93,3.55,2.21,
November,1.24,1.75,2.42,1.66,2.85,2.83,1.07,0.67,2.06,3.61,1.76,0.46,1.52,1.65,1.3,2.55,3.37,1.96,,
December,,2.58,1,1.69,1.6,1.94,2.81,1.78,2.11,1.06,1.54,2.46,1.23,1.19,1.69,0.55,1.53,2.69,,
Total,,24.55,20.15,15.63,24.53,18.96,21.67,21.83,16.13,18.18,19.66,15.79,19.97,33.53,17.1,19.5,20.96,20.02,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is at the northern side of the Southwork and Vauxhall Water Works at Hampton, there are no clues as to where they are on the site, could be +/- 250m East West and 100m S. Altitude is from OS maps",,,,,,,,,,,,,,,,,,,,
