ALDERMASTON-WHARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU601671,Long,-1.1374653,Lat,51.399757,Elevation,180,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.15,0.78,3.37,2.87,1.47,0.8,3.02,3.27,0.57,4.35,0.71,1.62,0.81,2.38,,,,,,,,,
February,,,,,,,,3.23,1.52,3.53,4.89,1.49,1.29,1.2,2.98,0.57,2.32,1.37,1.15,0.4,3.73,,,,,,,,,
March,,,,,,,,3.8,1.07,0.93,1.2,1.28,1.83,3.59,1.33,4.67,1.59,1.18,3.12,3.33,0.98,,,,,,,,,
April,,,,,,,,1.39,1.6,2.58,1.1,2.68,1.23,2.18,1.2,2,0.86,3.28,4.59,1.89,1.92,,,,,,,,,
May,,,,,,,,0.95,2.62,1.33,1.31,0.78,2.17,3.63,3.54,1.27,1.48,2.03,1.51,1.8,1.81,,,,,,,,,
June,,,,,,,,2.13,1.79,1.49,2.02,0.95,3.15,5.2,0.86,5.18,2.68,2.73,0.91,5.08,3.99,,,,,,,,,
July,,,,,,,,0.9,0.46,0.28,0.95,2.04,0.95,2.78,1.64,0.7,0.79,2.15,1.92,2.44,2.31,,,,,,,,,
August,,,,,,,,2.73,0.67,0.92,2.56,1.68,3.08,2.48,2.27,3.21,1.26,1.2,3.22,1.98,2.64,,,,,,,,,
September,,,,,,,,2.61,1.47,1.97,0.56,1.77,1.21,1.99,1.73,1.58,0.83,0.8,2.1,2.89,0.37,,,,,,,,,
October,,,,,,,,1.02,4.2,1.91,2.24,1.39,1.63,7.97,1.65,1.6,5.61,5.61,1.3,4.7,4.73,,,,,,,,,
November,,,,,,,,1.17,3.43,3.22,2.35,0.43,2.25,1.51,1.61,3.22,3.85,2.26,0.93,0.59,3.67,,,,,,,,,
December,,,,,,,,3.74,2.81,1.41,3.93,3.96,1.62,2.25,2.86,0.81,2.36,4.08,2.79,3.42,4.83,,,,,,,,,
Total,,,,,,,,25.82,22.42,22.94,25.98,19.92,21.21,37.8,24.94,25.38,27.98,27.4,25.16,29.33,33.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Aldermaston Brewery which was owned by the Strange family; the observer was J T Strange. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
