KENDAL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD519929,Long,-2.7403,Lat,54.3299,Elevation,149,ft,,,,,,,,,,,,
Station no,RR390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,,,,,,6.59,,,,,,,,,
February,,,,,,,,,,,1.77,,,,,,,,,
March,,,,,,,,,,,2.72,,,,,,,,,
April,,,,,,,,,,,6.49,,,,,,,,,
May,,,,,,,,,,,4.34,,,,,,,,,
June,,,,,,,,,,,0.97,,,,,,,,,
July,,,,,,,,,,,1.61,,,,,,,,,
August,,,,,,,,,,,0.89,,,,,,,,,
September,,,,,,,,,,,5.89,,,,,,,,,
October,,,,,,,,,,,8.24,,,,,,,,,
November,,,,,,,,,,,4.51,,,,,,,,,
December,,,,,,,,,,,4.13,,,,,,,,,
Total,,,,,,,,60.82,53.95,58.56,48.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-060.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-061.csv,,,,,,,,,,,,,,,,,,,,
