CREDITON-UDC-(COUNCIL-OFFICES),,,,,,,,,,
Grid ref,SS833003,Long,-3.657033,Lat,50.790485,Elevation,206,ft,,
Station no,1783/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.08,4.68,3.63
February,,,,,,,,4.18,0.32,3.27
March,,,,,,,,1.33,3.55,2.59
April,,,,,,,,0.51,2.57,3.12
May,,,,,,,,2.86,,1.86
June,,,,,,,,3.28,1.76,0.86
July,,,,,,,,2.94,1.66,3.91
August,,,,,,,,3.73,3.06,3.24
September,,,,,,,,3.64,0.21,6.23
October,,,,,,,,3.04,,9.33
November,,,,,,,,2.88,,3.28
December,,,,,,,,4.74,6.57,5.22
Total,,,,,,,,36.21,,46.54
,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,
1959 Site badly oversheltered by building and trees Recommended gauge to be moved to new site,,,,,,,,,,
1959 May Oct Nov Estimated,,,,,,,,,,
1959 Not printed Too much estimation,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Crediton Council Offices SRC_ID 8298,,,,,,,,,,
1958-1963,,,,,,,,,,
