ILFRACOMBE HOTEL OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS518478,Long,-4.123047,Lat,51.210123,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.5,3.15,7.69,4.36,3.67,4.32,1.88,4.23,1.23,3.39,0.55,1.02,2.43,3.22,3.59,3.23,3.94,2.43,1.34,1.22,3.74,2.64,1.17,1.99,3,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.02,2.28,4.37,0.73,1.91,1.57,4.41,1.95,1.97,4.12,2.15,2.76,2.18,3.51,2.86,2.83,0.47,0.62,0.88,2.07,0.84,0,1.15,4.44,2.47,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,2.23,2.71,4.25,3.07,1.63,1.3,2.74,2.63,1.41,1.11,1.6,2.35,1.96,0.48,3.88,1.44,3.04,1.78,2.96,2.47,1.18,2.02,0.88,0.41,3.05,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,0.25,2.87,1.84,0.95,1.85,2.02,1.97,2.71,1.29,1.25,1.71,1.2,3.38,1.34,1.57,1.39,1.79,1.36,0.88,1.39,2.14,2.23,1.43,0.17,1.59,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.53,0.79,1.43,2.77,0.37,2.71,0.15,2.26,3.21,1.62,1.64,1.57,2.36,2.48,1.14,2.1,2.86,1.75,1.2,3.27,2.03,2.77,1.15,2.51,2.97,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.4,0.54,1.84,4.09,1.63,1.29,3,1.57,2.28,1.93,5.12,1.73,2.58,3.74,3.27,1,2.54,0.9,0.06,2.46,0.22,2.24,2.14,0.91,0.93,1.3,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.58,1.4,5.21,4.32,4.32,1.77,2.52,1.21,3.24,1.03,2.18,6.87,2.21,4.5,2.54,2.65,1.16,3.03,1.67,2.4,2.85,2.44,2.48,1.62,4.4,3.78,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.32,1.14,1.51,1.59,4.12,5.22,3.32,2.6,4.88,4.42,4.42,1.06,4.63,3.25,1.58,3.4,1.98,1.18,1.21,2.42,3.86,3.48,6.34,4.15,1.75,3.64,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.82,2.63,4.21,3.8,3.38,3.26,5.24,4.34,1.86,2.73,4.96,1.83,2.89,2.5,3.87,1.86,5.42,2.4,3.35,1.28,1.96,1.56,3.05,3.18,2.37,2.16,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.41,5.61,5.58,5.83,4.21,4.42,5.1,3.34,3.13,5.02,1.64,6.47,1.45,5.87,3.23,1.99,3.56,5.6,2.22,2.05,4.33,1.94,6.49,2.75,4.02,4.86,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
