NORTH SHIELDS,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,1.8,1.88,2.98,,,,,,,
February,0.94,1.25,0.48,,,,,,,
March,0.45,0.89,0.45,,,,,,,
April,0.16,0.84,0.4,,,,,,,
May,3.78,1.64,0.97,,,,,,,
June,1.48,1.11,1.02,,,,,,,
July,2.78,2.46,2.3,,,,,,,
August,1.99,3.28,1.56,,,,,,,
September,2.97,2.17,2.13,,,,,,,
October,1.56,4.56,1.65,,,,,,,
November,2.72,2.21,2.29,,,,,,,
December,1.16,1.89,0.57,,,,,,,
Total,21.79,24.18,16.8,21.733,,,26.2,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
Apart from North Shields there are no clues to where the location is and the names mentioned W Brown and Atkinson cannot be found that have a connection to North Shields,,,,,,,,,,
