LOCH TAY (LOCHAN BREACHLAICH),,,,,,,,,,
Grid ref,NN618316,Long,-4.244132,Lat,56.456231,Elevation,1450,ft,,
Station no,5555/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.05,6.3
February,,,,,,,,,3.22,7.58
March,,,,,,,,,5.83,3.02
April,,,,,,,,,5.06,7.5
May,,,,,,,,,1.78,4.95
June,,,,,,,,,3.43,3.07
July,,,,,,,,,5.35,5.15
August,,,,,,,,,3.78,3.92
September,,,,,,,,,1.7,4.82
October,,,,,,,,,7,7.81
November,,,,,,,,,12.51,9.15
December,,,,,,,,,14.42,8.6
Total,,,,,,,,,67.13,71.87
,,,,,,,,,,
1954-58 Deleted,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5555/8,,,,,,,,,
Midas,15103,to Current,,,,,,,,
Hyd Stn,831305,,,,,,,,,
