POTTERS-BAR-PLAYING-FIELDS,,,,,,,,,,
Grid ref,TL241017,Long,-0.2056443,Lat,51.700332,Elevation,320,ft.,,
Station no,07-276307,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.28
February,,,,,,,,,,2.23
March,,,,,,,,,,1.64
April,,,,,,,,,,0.55
May,,,,,,,,,,2.23
June,,,,,,,,,1.06,1.47
July,,,,,,,,,2,3.61
August,,,,,,,,,1.7,2.79
September,,,,,,,,,0.06,3.28
October,,,,,,,,,1.77,5.71
November,,,,,,,,,2.44,4.08
December,,,,,,,,,4.27,2.88
Total,,,,,,,,,,32.75
,,,,,,,,,,
NGR is from the 1950s record. Altitudes match.,,,,,,,,,,
"Not allocated a Station No in the normal series but noted as being filed under 876/2 the Sewage Works, hence this number used.",,,,,,,,,,
MIDAS src_id 6210 ends 1976.,,,,,,,,,,
