BALA-TEGID-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SH926358,Long,-3.5984424,Lat,52.908861,Elevation,537,ft.,,,,,,,,,,,,
Station no,7325/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.27,7.47,7.54,9.54,8.32,2.5,2.71,5.78,9.16,7.42,5.44,8.36,6.59,13.46,3.85,2.21
February,,,,,9.07,3.36,7.76,2.27,6.45,3.7,5.97,1.72,4.51,2.39,8.01,10.16,1.67,4.78,3.71,9.66
March,,,,,1.98,3.26,5.16,1.94,3.98,4.02,4.01,2.89,1.33,1.12,2.25,1.92,7.9,2.89,1.56,2.85
April,,,,,4.02,2.05,3.27,0.33,2.54,3.16,1.32,3.32,2.14,2.03,3.6,1.39,4.99,2.73,6.45,5.33
May,,,,,1.54,2.21,2.48,2.98,1.19,2.76,2.97,4.57,5.47,2.88,4.69,2.55,3.64,2.33,3.99,1.42
June,,,,,5.25,5.65,2.4,4.8,2.92,1.41,0.93,0.34,5.26,3.39,4.68,4.5,3.25,5.68,0.88,3.22
July,,,,1.01,1.6,6.03,1.86,4.36,8.75,5.05,1.48,4.32,3.84,2.69,2.43,2.59,3.24,2.26,1.66,4.38
August,,,,4.3,1.94,1.42,1.19,3.4,2.75,0.97,5.78,4.36,5.72,3.71,3.24,6.01,0.76,5.63,2.56,
September,,,,3.76,8.21,5.33,2.07,2.12,0.87,3.95,1.58,3.18,5.64,5.18,3.68,6.1,2.32,3.31,1.23,
October,,,,7.18,9.36,5.21,3.32,9.77,3.13,6.27,6.89,5.51,5.75,5.87,6.87,1.23,0.97,3.58,10,
November,,,,1.79,6.62,6.82,1.62,7.85,10.87,10.07,3.9,0.89,3.61,10.03,0.51,7.33,7.93,4.86,7.48,
December,,,,8.64,3.83,9.64,4,5.73,3.78,4.49,4.02,6.87,2.71,7.33,6.05,6.99,5.43,6.94,9.48,
Total,,,,,55.69,58.45,42.67,55.09,55.55,48.35,41.56,43.75,55.14,54.04,51.45,59.13,48.69,58.45,52.85,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is mid point of built up section of Tegid Street. Could be +/- 200m. Gauge moved in September 1950 to the Grammar School,,,,,,,,,,,,,,,,,,,,
