DERBY-CORPORATION-HIGHWAY-DEPOT,,,,,,,,,,
Grid ref,SK359367,Long,-1.4674263,Lat,52.926516,Elevation,159,ft.,,
Station no,2660/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.52,1.65,2.92,2.47,4.88
February,,,,,,0.84,2.12,3.87,0.15,1.93
March,,,,,,1.32,2.18,1.62,1.43,1.46
April,,,,,1.28,1.66,0.19,0.64,2.3,1.33
May,,,,,3.07,0.6,0.73,2.28,0.34,1.45
June,,,,,3.75,2.34,1.11,4.09,0.8,2.26
July,,,,,1.36,3.01,2.71,4.4,1.63,3.13
August,,,,,0.31,4.72,3.11,1.82,1.04,4.16
September,,,,,0.95,2.83,5.62,2.7,0.05,4.49
October,,,,,1.89,1.11,1.41,2.4,2.18,5.11
November,,,,,1.84,0.95,2.11,1.29,2.52,2.92
December,,,,,2.13,3.35,2.06,3.11,3.35,3.13
Total,,,,,,26.25,25,31.14,18.26,36.25
,,,,,,,,,,
NGR is from the 1950s record and is the Stores Road depot. Altitudes match.,,,,,,,,,,
"MIDAS src_id 550, ends 1983",,,,,,,,,,
