WINCHMORE-HILL-ELSIEDENE-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ323946,Long,-0.089743273,Lat,51.634659,Elevation,107,ft.,,,,,,,,,,,,,
Station no,888,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.32,1.77,1.96,1.72,1.78,1.39,3.53,3.91,3.24,5.29,
February,,,,,,,,,,,1,2.05,0.26,1.54,0.19,2.63,1.61,4.33,0.53,0.91,
March,,,,,,,,,,,1.69,0.12,1.54,2.84,2.41,0.83,1.04,2.17,0.39,1.74,
April,,,,,,,,,,,2.14,3.99,2.29,1.01,2.05,3.01,1.38,3.14,0.16,2.97,
May,,,,,,,,,,,2.89,3.24,3.51,2.27,0.7,1.32,0.21,2.87,2.57,1.72,
June,,,,,,,,,,,1.89,1.6,0.78,2.15,1.32,3.84,3.67,2.09,0.64,1.47,
July,,,,,,,,,,,2.02,3.57,2.43,1.13,1.11,0.76,3.74,0.76,1.79,2.63,
August,,,,,,,,,,,3.39,7.04,1.51,0.55,2.49,1.92,0.58,1.64,2.55,3.43,
September,,,,,,,,,,0.29,3.28,2.61,2.21,2.64,2.57,3.78,2.67,1.87,2.94,1.51,
October,,,,,,,,,,2.93,1.24,0.74,5.32,1.65,1.46,3.74,1.74,2.3,3.22,5.74,
November,,,,,,,,,,5.54,4.34,2.58,1.47,1.11,1.92,3.91,3.52,1.25,3.63,4.62,
December,,,,,,,,,,5.5,2.43,1.04,0.82,0.46,5.59,2.58,1.96,3.32,3.41,1.28,
Total,,,,,,,,,,,28.63,30.35,24.1,19.07,23.59,29.71,25.65,29.65,25.07,33.31,
,,,,,,,,,,,,,,,,,,,,,
NGR is the mid point of Elsiedene Road (200m long overall). Altitudes match.,,,,,,,,,,,,,,,,,,,,,
