"LEEDS WESTWOOD RESERVOIR",,,,,,,,,,,,
Grid ref,SE271374,Long,-1.589721,Lat,53.832158,,,,,,,
Station no,3283,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.01,0.83,1.10,1.25,,
February,,,,,,,1.85,1.43,1.21,0.61,,
March,,,,,,,1.40,1.69,3.59,3.39,,
April,,,,,,,0.49,1.21,2.45,2.89,,
May,,,,,,,1.80,3.31,2.03,1.94,,
June,,,,,,,1.21,3.14,0.86,2.46,,
July,,,,,,,1.25,1.71,2.73,3.30,,
August,,,,,,,1.76,1.66,1.45,2.64,,
September,,,,,,,0.51,0.84,2.86,1.56,,
October,,,,,,,3.92,5.57,1.48,2.11,,
November,,,,,,,3.10,3.03,1.21,0.52,,
December,,,,,,,2.40,2.60,1.56,4.41,,
Total,,,,,,,22.70,27.02,22.53,27.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.70,27.02,22.53,27.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,,
