WARTER - OUSE RIVER BOARD,,,,,,,,,,
Grid ref,SE862502,Long,-0.688,Lat,53.941,Elevation,290,ft,,
Station no,3385/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.13,1.72,1.37,4.91,1.55,2.70,2.06,6.01
February,,,1.88,2.22,2.23,2.43,2.47,4.33,0.36,1.68
March,,,0.47,2.10,2.55,1.22,1.69,2.73,1.18,1.23
April,,,2.16,0.35,1.13,1.18,0.51,1.25,2.78,0.88
May,,,2.02,3.74,3.94,0.76,1.31,2.45,0.96,1.17
June,,,2.00,1.90,2.35,3.81,2.04,4.39,1.23,0.46
July,,,3.50,2.00,1.59,5.02,3.41,3.25,1.43,4.84
August,,,3.20,5.68,0.82,6.37,6.03,1.67,0.25,2.92
September,,,1.48,2.57,1.68,1.77,3.50,1.71,0.27,2.70
October,,,1.28,4.06,1.69,1.63,2.63,1.79,1.94,7.42
November,,2.30,2.32,4.67,1.71,1.18,2.56,0.91,3.13,4.54
December,,2.17,1.38,2.30,3.41,1.72,2.73,4.06,3.33,2.77
Total,,,22.82,33.31,24.47,32.00,30.43,31.24,18.92,36.62
,,,,,,,,,,
TYRain_1951-1960_20_pt1/175,,,,,,,,,,
,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,
