"CHESTER HAWARDEN BRIDGE",,,,,,,,,,,,
Grid ref,SJ312695,Long,-3.031819,Lat,53.218080,,,,,,,
Station no,4279,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.60,0.97,2.15,1.83,0.59,3.77,1.00,1.51,1.25,,
February,,1.10,1.06,1.15,2.92,0.76,2.18,1.24,1.38,0.77,,
March,,1.34,1.03,2.68,1.29,2.38,1.58,1.45,2.82,2.51,,
April,,1.12,0.94,1.29,0.50,1.57,0.69,1.03,3.55,1.81,,
May,,0.86,3.06,2.31,1.82,0.57,1.80,2.63,2.52,1.06,,
June,,1.89,1.05,1.19,1.07,4.40,1.01,2.82,1.87,2.52,,
July,,2.61,1.00,3.34,1.42,1.94,0.80,2.65,2.45,1.63,,
August,,2.10,3.01,3.04,3.93,4.22,2.63,2.15,2.85,2.48,,
September,,1.02,0.62,3.38,1.79,1.19,1.19,0.32,3.90,2.10,,
October,,1.18,3.31,7.78,1.07,1.71,3.47,4.49,1.98,2.75,,
November,,2.85,1.44,2.45,1.27,2.95,1.67,2.05,1.75,0.88,,
December,,1.81,1.75,1.23,2.45,0.57,2.47,1.69,1.31,4.17,,
Total,28.20,19.48,19.24,31.99,21.36,22.85,23.26,23.52,27.89,23.93,,
Calc annual,0.00,19.48,19.24,31.99,21.36,22.85,23.26,23.52,27.89,23.93,,
Difference,28.20,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
