LOCH BAD-MA-SCALAIG,,,,,,,,,,
Grid ref,NG848719,Long,-5.611691,Lat,57.685299,Elevation,355,ft,,
Station no,5784/66,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.02,11.59,7.4,5.33
February,,,,,,,5.01,6.54,2.89,5.04
March,,,,,,,5.74,3.76,3.84,1.41
April,,,,,,,4.64,4.6,5.94,5.29
May,,,,,,,2.72,6.94,2.76,3.03
June,,,,,,,4.13,1.99,7.09,7.05
July,,,,,,,5.42,3.04,9.16,4.38
August,,,,,,,8.12,5.18,7.58,3.97
September,,,,,,,6.92,4.03,4.3,4.99
October,,,,,,,11.3,9.46,10.8,2.2
November,,,,,,,5.3,3.74,8.79,5.08
December,,,,,,12.38,9.4,4.74,8.73,10.21
Total,,,,,,,79.72,65.61,79.28,57.98
,,,,,,,,,,
1956 -100 Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5784/66,,,,,,,,,
Midas,14127,,,,,,,,,
Hyd Stn,711235,,,,,,,,,
