RATHO INGLISTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8697,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,1.63,5.82,2.72,,,
February,,,,,,,3.19,2.01,1.15,,,
March,,,,,,,4.47,1.60,0.72,,,
April,,,,,,,2.91,3.54,1.56,,,
May,,,,,,,1.02,2.36,2.95,,,
June,,,,,,,2.24,2.10,1.89,,,
July,,,,,,,2.23,4.71,0.71,,,
August,,,,,,,3.05,7.52,3.12,,,
September,,,,,,,3.88,1.48,2.87,,,
October,,,,,,,1.20,2.66,2.20,,,
November,,,,,,,3.11,2.06,2.67,,,
December,,,,,,,7.16,2.20,2.30,,,
Total,,,,,,,36.09,38.06,24.86,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.09,38.06,24.86,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,,
