"CARLUKE, COLDSTREAM RESERVOIR",,,,,,,,,,,,
Grid ref,NS874499,Long,-3.794530,Lat,55.729375,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,1.05,2.95,4.90,3.25,0.80,2.50,1.65,2.90,4.35,,
February,1.85,0.10,0.40,4.75,1.85,1.30,2.05,1.95,2.40,2.40,,
March,1.55,1.50,2.90,6.55,1.10,3.25,3.45,1.35,3.45,2.40,,
April,2.40,1.65,1.40,1.75,3.40,3.40,1.05,1.35,1.50,2.15,,
May,1.80,0.70,2.25,1.85,3.05,1.05,3.75,2.85,3.30,2.85,,
June,3.95,3.80,2.30,1.45,1.65,1.10,2.85,4.35,1.95,3.25,,
July,3.00,1.25,2.30,4.00,2.75,2.20,2.00,2.65,2.20,4.70,,
August,4.60,4.00,2.65,5.35,3.60,4.25,6.15,4.70,2.45,2.15,,
September,2.70,1.50,1.90,3.30,1.85,2.40,1.20,1.50,4.55,1.90,,
October,6.00,2.85,1.50,6.75,1.90,2.00,5.55,7.55,0.80,6.30,,
November,5.70,4.80,1.45,2.65,1.90,2.10,4.60,2.00,2.05,0.55,,
December,6.30,1.30,2.55,2.45,3.25,3.35,3.35,4.05,2.00,2.95,,
Total,43.60,24.50,24.55,45.75,29.55,27.20,38.50,35.95,29.55,35.95,,
Calc annual,43.60,24.50,24.55,45.75,29.55,27.20,38.50,35.95,29.55,35.95,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
