Rainfall at,MELTHAM HARDEN MOSS
,
Station no,3185,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.10,9.62,2.75,5.67,4.22,5.78,5.15,4.86,12.00,1.76,6.92,
February,6.14,0.73,5.92,6.68,1.46,7.26,4.58,1.25,6.06,0.54,0.89,
March,4.44,4.57,3.76,2.67,1.38,2.18,2.45,5.75,2.33,1.27,2.74,
April,7.95,1.44,4.20,3.74,2.62,3.60,3.19,4.09,1.60,1.59,2.85,
May,5.68,2.61,1.60,5.34,6.53,4.36,4.33,1.59,1.94,3.70,2.48,
June,3.74,0.40,3.38,1.38,2.36,0.02,3.22,4.23,6.05,1.29,3.99,
July,8.55,2.11,4.05,5.97,3.77,1.58,3.39,3.26,2.13,2.62,8.04,
August,3.80,7.70,6.59,5.53,4.48,5.25,4.79,5.85,4.66,5.29,4.96,
September,2.48,1.31,5.03,4.24,5.09,4.25,3.33,7.17,0.59,1.96,4.92,
October,2.33,3.09,1.61,5.73,6.61,6.34,4.66,5.58,5.96,4.24,7.55,
November,2.82,2.66,3.18,7.32,3.26,2.39,5.80,5.75,8.53,10.58,6.61,
December,5.29,7.91,4.70,4.21,6.80,4.63,2.86,1.35,3.32,10.85,3.55,
Total,57.32,44.15,46.77,58.48,48.58,47.64,47.75,50.73,55.17,45.69,55.50,
Calc annual,57.32,44.15,46.77,58.48,48.58,47.64,47.75,50.73,55.17,45.69,55.50,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,
