COULSDON-GRANGE,,,,,,,,,,
Grid ref,TQ312582,Long,-0.11913025,Lat,51.307803,Elevation,525,ft.,,
Station no,RR8435,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.67,2.64,0.42,1.97,3.7,1.37,0.72,1.82,0.65,2.88
February,0.59,0.23,1.21,3.25,1.37,0.42,0.24,2.54,1.2,2.44
March,2.4,1.76,1.13,0.74,1.28,1.66,3.49,4.21,1.44,0.76
April,2.32,0.61,1.11,0.08,2.6,1.93,0.77,1.17,1.09,3.01
May,1.68,2.87,1.2,0.72,1.57,0.42,0.14,1.69,3.7,1.58
June,2.15,1.38,3.48,0.76,2.42,0.81,2.92,1.56,1.55,1.05
July,4.9,3.87,1.85,3.42,4.45,3.97,1.94,1.15,0.59,0.75
August,2.65,5.72,3.59,0.63,3.39,2.25,2.43,3.43,0.98,0.8
September,0.8,1.24,2.41,1.47,1.75,0.65,6.26,2.64,0.56,2.51
October,1.27,5.33,4.17,3.96,4.31,3.18,3.9,0.61,2.91,1.95
November,2.01,2.67,2.81,2.3,4.65,4.59,1.56,1.28,3.53,4.69
December,0.06,3.63,1.55,2.67,1.87,2.48,3.43,2.82,2.74,1.44
Total,23.5,31.95,24.93,21.97,33.36,23.73,27.8,24.92,20.94,23.86
,,,,,,,,,,
"NGR is The Grange, adjacent to church as noted on the records. Altitudes match.",,,,,,,,,,
