"LLANDWROG, GLYNLLIVON THE FORT NO 2",,,,,,,,,,,,
Grid ref,SH460550,Long,-4.300000,Lat,53.069975,,,,,,,
Station no,4368,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.89,,,,
February,,,,,,,,1.77,,,,
March,,,,,,,2.91,2.20,,,,
April,,,,,,,1.29,1.06,,,,
May,,,,,,,4.12,2.77,,,,
June,,,,,,,2.03,4.57,,,,
July,,,,,,,1.24,1.69,,,,
August,,,,,,,5.84,3.42,,,,
September,,,,,,,0.83,0.97,,,,
October,,,,,,,7.57,6.98,,,,
November,,,,,,,1.79,3.82,,,,
December,,,,,,,3.58,4.31,,,,
Total,,,,,,,,35.45,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.20,35.45,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
