"CERRIG-Y-DRUDION HAFOD-LLAN-ISAF",,,,,,,,,,,,
Grid ref,SH958531,Long,-3.556459,Lat,53.064947,,,,,,,
Station no,4300,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.70,2.67,4.18,3.25,,
February,,,,,,,4.49,2.30,3.47,2.40,,
March,,,,,,,4.00,2.70,4.38,3.20,,
April,,,,,,,1.48,2.00,2.27,4.00,,
May,,,,,,,4.75,2.90,3.28,1.30,,
June,,,,,,,2.19,4.58,2.27,2.30,,
July,,,,,,,0.90,2.17,4.78,3.50,,
August,,,,,,,3.69,3.08,4.47,2.60,,
September,,,,,,,1.37,0.77,3.28,6.00,,
October,,,,,,,6.85,9.25,1.57,7.30,,
November,,,,,,,5.28,2.88,4.58,2.20,,
December,,,,,,,5.18,4.27,3.40,7.00,,
Total,,,,,,,45.88,39.57,41.93,45.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,45.88,39.57,41.93,45.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
