TOOTING-BEC-MORING-ROAD,,,,,,,,,,
Grid ref,TQ284714,Long,-0.15451462,Lat,51.427069,Elevation,125,ft.,,
Station no,6/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.93,1.12,2.9,3.56,1.55,2.13,1.9,1.62
February,,,1.13,2.02,1.54,0.12,2.6,2.58,0.07,1.59
March,,,0.48,1.92,1.18,0.95,0.66,1.13,1.83,1.19
April,,,1.98,0.35,0.51,1.05,0.32,1.52,2.06,0.83
May,,,1.33,2.65,4.95,0.46,1.21,2.51,0.71,1.61
June,,,1.58,3.63,1.97,3.06,0.91,5.34,0.97,1.29
July,,,3.41,2,0.36,5.53,2.66,2.07,1.18,2.98
August,,,1.28,3.08,1.77,2.89,3.86,3.26,1.67,2.64
September,,,2.15,2.2,2.28,1.94,2.22,4.15,0.09,4.14
October,,,3.1,2.29,3.07,1.55,1.98,2.62,2.36,5.04
November,,3.35,0.96,3.96,0.65,0.54,2.12,2.39,3.31,3.45
December,,2.34,0.61,1.58,1.78,2.26,2,2.13,3.13,2.58
Total,,,18.94,26.8,22.96,23.91,22.09,31.83,19.28,28.96
,,,,,,,,,,
NGR is from 1950s record and is on Moring Road.,,,,,,,,,,
"Stated altitude of 150 ft. is 25 ft. too high, OS figure used.",,,,,,,,,,
Midas src_id 6644 continues to 1962,,,,,,,,,,
