FERMOY ST JAMES PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IW8117798856,Long,-8.275223,Lat,52.14156953,Elevation,114,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,,,,,5.23,3.51,3.89,6.45,3.5,4.32,4.94,7.47,2.46,7.82,2.89,,,
February,,,,,,,,,,,,,,,,,2.8,2.52,1.73,2.34,3.07,4.55,5.11,2.24,5.43,1.35,4.62,,,
March,,,,,,,,,,,,,,,,,4.06,3.99,2.8,2.77,2.55,2.28,3.51,3.83,1.68,1.92,3.23,,,
April,,,,,,,,,,,,,,,,,2.91,3.06,3.15,1.71,0.91,3.19,1.26,1.8,2.21,1.63,3.19,,,
May,,,,,,,,,,,,,,,,,1.29,4.34,1.64,3.65,2.16,0.66,1.3,1.21,0.98,2.44,0.21,,,
June,,,,,,,,,,,,,,,,,2.46,0.58,1.38,0.29,0.78,3.1,2.68,1.54,1.01,2.55,1.35,,,
July,,,,,,,,,,,,,,,,,0.86,2.12,1.44,1.62,0.91,3.8,4.54,2.96,2.11,2.09,1.2,,,
August,,,,,,,,,,,,,,,,,3.47,2.89,5.16,0.96,1.16,1.53,4.59,3.85,2.29,1.97,2.66,,,
September,,,,,,,,,,,,,,,,,4.5,2.74,3.35,6.04,2.75,2.87,2.26,2.22,3.93,6.1,4.74,,,
October,,,,,,,,,,,,,,,,,2.76,3.85,2.39,0.65,6.18,3.82,3.15,3.04,4.08,5.37,5.09,,,
November,,,,,,,,,,,,,,,,,3.01,0.65,4.03,2.63,2.23,1.92,4.89,2.07,4.71,4.19,5.28,,,
December,,,,,,,,,,,,,,,,,3.96,1.37,7.72,5.54,2.89,3.52,8.37,0.87,4.91,2.31,7.95,,,
Total,,,,,,,28.64,30.56,35.41,38.89,36.3,41.05,44.32,38.74,28.1,41.3,37.31,31.62,38.68,34.65,29.09,35.56,46.6,33.1,35.8,39.74,42.41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Campbell, observer, was Arthur John Campbell, JP of St Jame's Place in the 1862 Cork County Directory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OpenStreetMap gives elevation of 82' for this location, records have 114'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"However, river bridge to south of site has trig point of 91' in the middle and the church at the north end of the terrace has a spot height of 115' therefore record elevation considered more reliable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
