"COCKERMOUTH DERWENT HOUSE - 8"" gauge",,,,,,,,,,
Grid ref,NY118309,Long,-3.368,Lat,54.6661,Elevation,144,ft,,
Station no,RR2658,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,6.88,,,,,,,
February,,,3.12,,,,,,,
March,,,3.35,,,,,,,
April,,,1.36,,,,,,,
May,,,2.84,,,,,,,
June,,,4.5,,,,,,,
July,,,3.8,,,,,,,
August,,,3.59,,,,,,,
September,,,6.6,,,,,,,
October,,,7.26,,,,,,,
November,,,4.92,,,,,,,
December,,,4.88,,,,,,,
Total,,,53.1,,,,,,,
,,,,,,,,,,
"Gauge terminated as readings so similar to those of the 5"" guage",,,,,,,,,,
