"DALRY CAMPHILL",,,,,,,,,,,,
Grid ref,NS275549,Long,-4.750475,Lat,55.756624,,,,,,,
Station no,5250,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.70,5.80,3.55,6.70,4.70,,
February,,,,,,4.40,4.05,3.45,3.75,3.55,,
March,,,,,,6.00,4.00,6.05,4.20,2.25,,
April,,,,,,4.10,2.40,3.10,3.85,6.90,,
May,,,,,,2.82,8.60,5.35,4.00,1.85,,
June,,,,,,1.85,2.20,8.25,3.45,5.00,,
July,,,,,,4.20,3.40,3.10,6.30,5.75,,
August,,,,,,6.80,7.70,9.60,3.85,3.60,,
September,,,,,,4.20,3.75,2.75,9.45,4.45,,
October,,,,,,5.30,5.35,8.05,2.95,8.75,,
November,,,,,,7.70,9.95,6.00,4.50,1.15,,
December,,,,,,5.25,5.80,9.20,7.25,10.05,,
Total,,,,,,56.32,63.00,68.45,60.25,58.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,56.32,63.00,68.45,60.25,58.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
