BOSTON - PEN STREET (W.H.Wheeler),,,,,,,,
Grid ref,TF331442,Long,-0.019,Lat,52.979,Elevation,16,ft
Station no,RR2360,,,,,,,
,,,,,,,,
,1867,1868,1869,1870,1871,1872,,
January,3.67,2.43,2.79,1.24,0.85,2.78,,
February,1.36,1.51,1.82,1.36,1.82,1.81,,
March,1.58,1.68,2.62,1.10,1.30,2.70,,
April,2.23,2.41,1.91,0.69,2.84,2.87,,
May,3.72,0.43,3.86,0.65,1.42,1.71,,
June,1.06,0.45,1.66,1.57,3.24,2.15,,
July,3.53,0.37,0.75,0.98,3.80,,,
August,1.89,3.43,1.63,1.48,1.00,,,
September,1.84,2.29,3.29,0.97,3.99,,,
October,2.02,3.35,1.16,3.45,1.04,,,
November,0.79,1.39,1.61,1.39,1.33,,,
December,2.25,5.87,4.16,3.78,1.18,,,
Total,25.94,25.61,27.26,18.66,23.81,,,
,,,,,,,,
TYRain_1860-1869_04_pt1/040,,,,,,,,
TYRain_1870-1879_06_pt3/022,,,,,,,,
,,,,,,,,
# The gauge and observer moved to the Boston High Street site in July 1872.,,,,,,,,
