BOSTON - HIGH STREET (W.H.Wheeler),,,,,,,,,,,,,,,
Grid ref,TF328438,Long,-0.024,Lat,52.975,Elevation,24,ft,,,,,,,
Station no,RR2360,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886
January,,1.90,1.19,2.03,1.82,3.08,1.40,0.92,0.22,0.81,1.63,2.04,1.90,1.86,2.49
February,,1.68,1.57,1.69,2.13,2.09,1.36,2.25,1.94,3.70,1.48,3.20,0.72,1.73,0.11
March,,1.50,0.70,0.43,2.42,1.45,0.80,0.54,1.40,1.73,1.18,1.37,1.10,0.83,2.39
April,,0.66,0.46,0.43,4.36,3.19,1.19,2.25,2.49,1.16,2.48,1.64,1.20,1.27,1.42
May,,2.40,0.85,1.05,0.84,1.41,4.00,3.32,1.19,0.76,1.72,2.48,1.11,1.67,2.80
June,,2.13,0.72,2.35,3.13,1.17,1.84,4.18,3.95,2.14,3.01,4.18,0.46,2.27,1.15
July,3.32,2.25,1.86,3.82,1.80,2.82,1.20,3.42,5.70,3.71,2.42,2.49,2.41,0.52,
August,3.86,2.91,1.97,1.91,1.74,2.92,5.48,2.88,2.42,4.32,2.25,1.30,1.11,1.26,
September,2.10,2.01,2.43,2.24,5.24,2.13,1.57,3.45,4.91,2.53,3.34,6.75,1.34,3.11,
October,3.17,1.37,1.72,3.50,1.17,2.24,1.94,0.71,7.14,2.54,4.78,2.43,1.04,4.89,
November,2.94,1.08,2.04,4.90,2.55,1.99,4.31,1.15,1.94,2.43,2.79,2.82,1.87,3.08,
December,3.28,0.32,2.71,1.20,4.26,1.65,1.68,0.65,2.23,2.42,3.74,1.06,1.91,0.93,
Total,,20.21,18.22,25.55,31.46,26.14,26.77,25.72,35.53,28.25,30.82,31.76,16.17,23.42,
,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/022,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The gauge and observer moved to the Boston High Street site from Boston Pen Street in July 1872.,,,,,,,,,,,,,,,
"# The gauge and observer moved to the Boston London Road site in 1886 - the month of the move is not known, end of June assumed for allocating readings to sites.",,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# The location of the site on the High Street has not been determined.,,,,,,,,,,,,,,,
