BOSTON - 104 HIGH STREET (Swinn & Sons),,,,,,,,,,
Grid ref,TF327436,Long,-0.025,Lat,52.973,Elevation,13,ft,,
Station no,RR2360,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.48,,,,,,,
February,,,0.95,,,,,,,
March,,,1.77,,,,,,,
April,,,0.15,,,,,,,
May,,,2.24,,,,,,,
June,,,2.98,,,,,,,
July,,,3.87,,,,,,,
August,,,5.96,,,,,,,
September,,,1.36,,,,,,,
October,,,1.77,,,,,,,
November,,,2.38,,,,,,,
December,,,3.03,,,,,,,
Total,,,28.94,,,,,,,
,,,,,,,,,,
TYRain_1910-1919_16_pt1/033,,,,,,,,,,
