ABERGAVENNY-PENPERGWM,,,,,,,,,,,,,,,,,,,,
Grid ref,SO335104,Long,-2.9655174,Lat,51.788287,Elevation,185,ft.,,,,,,,,,,,,
Station no,4024/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,3.89,5.67,0.94,7.21,6.62,5.03,9.65,3.77,7.19,4.52,10.81,3.96,3.39,5.87,4.73,,,
February,,,4.65,0.32,4.22,3.47,7.05,1.16,2.76,4.19,4.03,0.38,2.78,0.51,4.03,3.34,2.44,,,
March,,,3.86,3.01,0.6,3.63,4.99,0.05,2.01,2.55,3.11,3.37,1.35,0.3,1.47,1.34,9.82,,,
April,,,1.61,2.91,5.64,2.47,3.02,0.08,3.19,2.6,1.46,2.75,1.08,1.79,1.89,2.15,4.67,,,
May,,,3.13,1.52,0.59,1.29,2.48,2.5,0.8,3.02,2.28,8.02,5.15,0.74,3.8,5.3,3.19,,,
June,,,2.74,1.12,5.46,4.51,1.48,2.11,3.29,0.59,2.6,0,2.25,1.97,4.4,3.13,2.14,,,
July,,,2.99,2.82,0.46,6.8,3.6,3.69,9.49,3.61,2.77,1.73,1.43,2.18,3.02,1.91,2.57,,,
August,,,0.56,3.19,1.47,0.35,1.46,3.08,3.88,0.1,4.49,4.46,3.99,2.67,4.92,6.74,1.22,,,
September,,,2.62,2.81,5.57,3.28,1.76,3.38,0.9,0.97,1.37,2.68,3.18,3.51,3.32,5.59,1.8,,,
October,,,5.47,3.06,4.68,1.93,4.88,5.29,3.85,6.61,2.27,2.14,2.92,7.56,5.56,1.37,,,,
November,,,0.9,1.71,6.57,3.79,2.12,5.93,8.36,10,3.65,0.81,2.67,7.8,0.69,9.13,,,,
December,,,1.37,10.74,5.05,7.3,3.06,5.93,1.92,1.99,3.89,6.37,2.65,3.47,7.08,5.2,,,,
Total,,,33.79,38.88,41.25,46.03,42.52,38.23,50.1,40,39.11,37.23,40.26,36.46,43.57,51.07,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Penpergwm Lodge. Altitudes match,,,,,,,,,,,,,,,,,,,,
