LLANWRTYD-WELLS-LLANDULAS-OBSERVER-POOLE,,,,,,,,,,
Grid ref,SN878419,Long,-3.6381211,Lat,52.064075,Elevation,840,ft.,,
Station no,4208/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,7.36,8.33,6,6.82,9.15
February,,,,,,1.04,5.49,9.4,0.66,7.14
March,,,,,,4.17,7.04,1.29,6.93,2.42
April,,,,,,1.44,0.57,2.06,5.49,4.97
May,,,,,,1.7,2.82,5.36,1.9,2.12
June,,,,,,4.15,1.86,4.4,2.93,3.49
July,,,,,1.6,4.96,6.87,5,4.64,5.47
August,,,,,2.05,7.92,5.61,4.27,0.33,6.31
September,,,,,2.9,6.56,11.28,8.5,0.45,6.53
October,,,,,4.68,3.71,6.48,6.73,7.06,7.03
November,,,,,3.26,3.63,3.51,3.42,7.25,12.66
December,,,,,8.52,7.2,5.7,5.21,11.29,8.5
Total,,,,,,53.84,65.56,61.64,55.75,75.79
,,,,,,,,,,
NGR and altitude are as noted in MIDAS. MIDAS states record started in 1953; the records have readings for 1953 that are crossed out.,,,,,,,,,,
