THE PEAK FAIRBROOK NO 46,,,,,,,,,,,,
Grid ref,SK113900,Long,-1.831489,Lat,53.406698,,,,,,,
Station no,RR7342,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,8.68,3.21,5.27,4.13,,
February,,,,,,,5.94,4.22,6.44,5.67,,
March,,,,,,,5.84,5.91,5.45,5.97,,
April,,,,,,,2.88,4.50,3.83,3.96,,
May,,,,,,,5.12,6.35,3.84,3.19,,
June,,,,,,,2.06,9.86,2.37,4.71,,
July,,,,,,,3.97,3.49,6.40,8.07,,
August,,,,,,,5.29,6.47,4.67,3.80,,
September,,,,,,,2.35,1.06,4.16,3.97,,
October,,,,,,,7.66,7.87,1.85,7.78,,
November,,,,,,,7.67,5.27,5.08,2.79,,
December,,,,,,,7.14,5.75,4.17,11.42,,
Total,60.09,57.33,52.03,,48.06,53.16,64.60,63.96,53.53,65.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,64.60,63.96,53.53,65.46,,
Difference,60.09,57.33,52.03,NaN,48.06,53.16,-0.00,0.00,-0.00,0.00,,
