SWANSEA-SOUTH-DOCK-LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS656926,Long,-3.9426058,Lat,51.616134,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.22,3.47,4.21,4.12,2.66,4.62,2.44,3.65,7.76,5.72,4.75,6.03,2.46,4.3,1.71,2.02,0.37,0.91,3.54,5.15,5.58,3.63,5.09,4.63,2.32,1.96,5.64,4.03,1.99,2.23,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.78,2.52,3.32,2.51,1.56,5.21,2.49,2.4,4.01,0.85,2.76,2.12,5.73,2.62,2.42,3.57,4.38,5.56,3.79,5.15,4.26,4.23,1.05,0.8,1.73,2.94,1.47,0.11,2.24,5.37,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.05,1.74,2.67,2.56,2.29,1.53,2.28,1.73,3.47,3.33,2.79,1.15,3.16,2.64,0.84,1,1.82,3.73,2.85,0.86,4.59,2.07,4.42,2.14,3.97,4.44,2.42,1.55,1.2,0.68,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.76,2.49,1.43,3.6,1.47,2.03,0.23,4.1,1.6,0.53,1.19,1.41,2.46,2.55,2.37,1.34,1.6,2.46,5.19,1.31,2.24,3.11,3.08,1.29,1.2,2.34,1.98,3.66,2.15,0.08,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.2,2.59,0.66,3.04,2.58,3.2,1.77,0.86,1.31,2.84,0.43,1.84,0.33,1.95,3.42,1.61,2.63,2.57,2.2,2.2,2.34,3.21,4.28,1.84,1.71,2.19,3.81,3.1,1.47,3.39,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.74,2.06,2.25,1.07,0.08,0.49,0.33,0.78,4.87,1.06,2.12,3.4,0.87,1.84,2.07,5.92,2.05,3.93,4.1,5.34,2.65,4.67,0.92,0.36,3.85,0.41,3.42,2.56,1.69,1.44,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.77,3.1,0.89,1.87,0.35,1.06,1.83,5.34,3.42,3,1.55,3.82,1.61,3.61,1.45,2.34,5.93,1.92,5.24,5.54,4.77,1.29,4.2,1.71,6.25,3.64,3.27,3.11,1.99,4.12,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.69,3.61,3.58,1.91,4.11,1.24,1.87,1.7,2.65,4.38,4.69,6.33,3.58,4.22,3.06,5.31,0.49,5.51,4.76,2.29,2.47,1.81,1.22,1.46,4.3,4.81,4.06,6.49,4.61,2.37,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.7,0.11,8.37,2.05,2.42,5.85,1.91,2.99,3.81,2.72,4.74,4.39,5.1,3.83,2.2,3.15,2.64,2.39,3.47,8.32,3.36,6.31,4,3.06,1.09,2.89,1.69,4.01,4.5,2.54,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.85,5.47,1.53,5.5,3.64,2.73,6.26,5.2,6.16,3.56,4.35,5.72,5.27,3.59,4.51,1.05,2.09,2.87,7.89,4.35,2.96,4.76,7.24,2.93,2.22,3.87,2.96,9.76,3.46,6.66,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
