HAYFIELD-RED-BROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK081878,Long,-1.8796795,Lat,53.386982,Elevation,1950,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/7/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.8,7.3,6.75,8.14,,,,7.72,,,6.8,5,12.73,4.14,4.3,,5.4,,5.6,5.7,,,6.15,,
February,,,,,,3.97,9.14,2.48,4.6,,,,4.6,,,8.5,2.5,,3.11,7,,4.15,,4.54,,3.4,4,8.15,,
March,,,,,,4.25,7.41,,3.86,4.53,,,2.17,1.79,2.35,2.8,8.6,1.86,2.84,2.48,,3.18,3.55,4.45,,2.07,4.25,2.95,,
April,,,,,3.67,2.3,5.4,,4.03,4.5,2.07,2.06,3.18,3.67,2.9,2.44,4.34,2.52,5.18,4.5,3.05,4.4,3.45,1.1,,,,1.9,,
May,,,,,0.46,1.5,3.16,4.95,2.68,1.47,3.49,4.6,3.4,,4.55,2,4.64,1.82,3.21,2,3.21,3.6,3,4.3,,1.9,1.65,4.85,,
June,,,,,4.88,4.22,2.7,5.48,3.62,1.64,3,1.46,4.48,5.04,4.28,5.23,3.21,6.74,1.62,3.15,1.87,3.25,3.9,4,5.2,3.8,,6.7,,
July,,,,,3.04,7.82,5.78,7.45,8.48,6.08,4.47,7.74,2.38,5.26,2.48,5.8,4.5,3.45,3,3.6,,4.4,6.85,10.3,1.1,8.35,7.8,7.05,,
August,,,,,2.19,4.08,1.35,3.45,2.48,3.47,8.08,5.36,7.49,4.08,4,6.03,0.6,6.7,4.59,4.81,7.1,2.8,5.4,8.3,0.75,11.75,8.25,,,
September,,,,,8,9.67,1.93,4.1,2,5.73,1.17,4.96,6.8,6.35,3.06,7.19,2.74,4.1,1.91,7.35,3.6,6.8,3.05,6.2,,4.7,,,,
October,,,,,11.05,7.36,3.22,9,4.86,5.41,6.98,10.47,3.65,6.19,8.61,1.64,1.65,3.67,4.65,2.65,1.51,6.05,3.1,8.8,,3.2,,5.7,,
November,,,,,7.17,6.75,2.65,6.57,8.87,10.46,4.76,2.09,5.59,8.88,1.3,9.04,6.95,3.3,7,6.3,11.2,4.3,3.4,9.4,2.95,2.35,,,,
December,,,,,7.68,7.84,4.04,7.42,4.33,7.15,4.46,5.15,3.07,4.59,3.8,6.34,6.65,3.87,,4.48,7.6,4.6,,9.5,7.1,,6.55,5.35,,
Total,,,,,,65.56,54.08,,57.95,,,,54.53,,,63.81,51.38,,,52.62,,52.93,,76.49,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Red Brook. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan, Feb and Mar 1947 estimated for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
