"CRIEFF, GLENTURRET LODGE",,,,,,,,,,
Grid ref,NN802293,Long,-3.944714,Lat,56.440617,Elevation,1145,ft,,
Station no,5545/6/7,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.92,,,,,
February,,,,,11.43,,,,,
March,,,,,7.86,,,,,
April,,,,,4.11,,,,,
May,,,,,2.36,,,,,
June,,,,3.26,2,,,,,
July,,,,1.01,3.35,,,,,
August,,,,1.51,4.59,,,,,
September,,,,4.41,1.63,,,,,
October,,,,5.28,3.28,,,,,
November,,,,8.06,9.09,,,,,
December,,,,3.57,11.77,,,,,
Total,,,,,66.39,,,,,
,,,,,,,,,,
Position of G now under Loch Turret,,,,,,,,,,
,,,,,,,,,,
Station no,5545/6/7,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
