CAMBERLEY-TEKELLS-CASTLE,,,,,,,,,,
Grid ref,SU882594,Long,-0.73553083,Lat,51.326871,Elevation,267,ft,,
Station no,RR8375,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.47,0.67,2.28,1.04,
February,,,,,,0.19,0.42,2.88,1.26,
March,,,,,,1.36,3.34,3.9,1.2,
April,,,,,,1.88,0.5,1.6,1.38,
May,,,,,,0.47,0.38,1.16,3.21,
June,,,,,,0.34,2.11,2.39,1.68,
July,,,,,,3.92,1.09,0.78,0.49,
August,,,,,,1.63,2.6,2.57,1.14,
September,,,,,,1.42,5.63,1.73,0.71,
October,,,,,,2.91,2.69,0.91,3.26,
November,,,,,,3.88,1.68,1.24,3.19,
December,,,,,,2.57,3.7,2.6,2.86,
Total,,,,,,23.04,24.81,24.04,21.42,
,,,,,,,,,,
"NGR is Tekells Castle, where the observer was a gardener.",,,,,,,,,,
NGR at southern end of garden to match altitude.,,,,,,,,,,
Gauge moved to Waverley Court 1 Jan 1899,,,,,,,,,,
