GARSDALE,,,,,,,,,,
Grid ref,SD746895,Long,-2.3918011,Lat,54.300473,Elevation,700,ft.,,
Station no,RR4472,,,,,,,,,
,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779
January,,,,,,,,2.27,4.24,1.5
February,,,,,,,,3.75,1.95,2.38
March,,,,,,,,3.97,5.15,1.45
April,,,,,,,,3.98,2.66,3.83
May,,,,,,,,2.3,7.37,4.79
June,,,,,,,,5.32,3.32,2.05
July,,,,,,,,3.37,7.7,5.02
August,,,,,,,,5.61,5.12,1.09
September,,,,,,,,2.29,4.19,7.56
October,,,,,,,,6.9,4.84,8.72
November,,,,,,,,9.65,5.78,4.34
December,,,,,,,,3.11,9.05,3.22
Total,,,,,,,,52.52,61.37,45.95
,,,,,,,,,,
NGR is St Johns Church Garside where the observer was vicar,,,,,,,,,,
The existing church was built in 1860 on the site of a previous church.,,,,,,,,,,
There is a vicarage 200m NW but unlikely to be from the 1770s ,,,,,,,,,,
It is likely that the gauge is close to the Church,,,,,,,,,,
"There are two records that are duplicates apart from one reading, Oct 1771, which differ by only 0.01 inches",,,,,,,,,,
