"DUNTOCHER JAW RESERVOIR",,,,,,,,,,,,
Grid ref,NS496757,Long,-4.410206,Lat,55.950720,,,,,,,
Station no,5340,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.42,4.79,6.38,6.81,,
February,,,,,,,4.03,5.16,5.70,3.77,,
March,,,,,,,4.38,6.74,6.12,2.24,,
April,,,,,,,2.20,2.82,2.18,5.07,,
May,,,,,,,7.47,6.11,3.72,4.35,,
June,,,,,,,2.09,5.60,3.46,3.30,,
July,,,,,,,4.59,3.51,3.97,6.22,,
August,,,,,,,5.64,7.93,5.50,5.39,,
September,,,,,,,3.34,2.83,9.10,3.14,,
October,,,,,,,7.73,6.93,2.19,7.63,,
November,,,,,,,5.56,4.09,4.62,3.98,,
December,,,,,,,6.69,7.29,5.49,6.74,,
Total,,,,,,,59.14,63.80,58.43,58.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,59.14,63.80,58.43,58.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
