Rainfall at,ERITH CROSSNESS
,
Station no,,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.32,1.16,1.41,1.73,2.03,1.49,3.94,1.16,0.90,,
February,2.41,2.86,1.34,3.33,1.32,2.81,0.41,0.69,0.98,,
March,0.54,1.67,1.20,0.56,1.45,1.56,1.02,1.41,2.82,,
April,2.10,0.52,2.60,1.70,1.28,1.95,1.34,1.90,1.84,,
May,0.66,1.46,1.41,1.92,0.66,2.19,4.86,1.97,0.73,,
June,5.32,2.32,2.48,1.36,1.96,1.08,0.60,1.04,3.93,,
July,3.95,2.10,2.72,1.96,2.22,0.38,2.69,0.98,6.31,,
August,1.28,3.93,1.37,0.69,0.86,2.06,1.16,2.58,,,
September,3.76,1.75,3.26,3.55,2.00,3.86,1.21,2.13,,,
October,9.23,2.63,5.71,1.82,1.01,3.60,2.02,1.34,,,
November,2.56,2.76,2.66,3.00,1.31,3.19,2.77,4.03,,,
December,3.11,2.58,2.27,0.75,2.34,1.20,3.22,1.64,,,
Total,35.24,25.74,28.43,22.37,18.44,25.37,25.24,20.87,,,
Calc annual,35.24,25.74,28.43,22.37,18.44,25.37,25.24,20.87,17.51,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,
