WARBURTON,,,,,,,,,,
Grid ref,SJ696895,Long,-2.4586903,Lat,53.401441,Elevation,50,ft.,,
Station no,RR6375,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,0.79,1.84,3.46,3.11,2.32,2.4
February,,,,,2.97,1.82,2.86,2.33,1.89,2.84
March,,,,,3.23,1.4,2.32,1.87,3.09,2.18
April,,,,,1.87,1.66,0.54,4.43,1.65,2.15
May,,,,,2.49,4.19,1.06,1.84,1.02,4.23
June,,,,,3.11,0.97,4.26,1.04,0.35,1.08
July,,,,,1.4,2.54,3.77,6.06,0.51,0.86
August,,,,,2.15,5.55,4.44,1.6,-999,-999
September,,,,,4.25,0.68,6.24,2.78,-999,-999
October,,,,,1.84,3.64,2.16,3.95,4.31,3.01
November,,,,,3.09,3.04,4.62,1.76,2.16,3.71
December,,,,,2.28,0.88,2.41,2.78,7.7,3.13
Total,,,,,29.47,28.21,38.14,33.55,28.95,33.85
,,,,,,,,,,
"NGR is the rectory at Warburton, the observer, Rev D A Beaufort, was vicar to the church and assumed to be living at the rectory.",,,,,,,,,,
Altitude is from OS map.,,,,,,,,,,
No other Cheshire locations within 10km covering the same period,,,,,,,,,,
