ERWOOD-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,SO089439,Long,-3.3309615,Lat,52.085928,Elevation,407,ft.,,,,,,,,,,,,
Station no,4220/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,-999,3.7,3.44,6.53,3.6,3.09,5.3,3.77,9.61,,
February,,,,,,,,,,-999,4.05,0.59,3.2,1.51,3.65,5.31,1.79,2.1,,
March,,,,,,,,,,2.9,3.11,3.49,0.72,0.28,1.39,0.93,8.21,2.11,,
April,,,,,,,,,,2.87,0.81,2.42,1.01,1.25,2.52,2.21,3.71,2.73,,
May,,,,,,,,,,2.1,2.5,4.48,3.74,0.84,3.95,3.65,3.14,3.19,,
June,,,,,,,,,,0.81,1.7,0.1,2.66,2.09,4.7,3.77,1.84,3.38,,
July,,,,,,,,,,3.37,3.01,2.89,2.13,2.42,2.33,2.83,2.41,1.49,,
August,,,,,,,,,,0.3,4.85,2.65,3.42,2.99,6.88,6.41,0.73,3.17,,
September,,,,,,,,,,1.14,1.05,1.98,4.41,3.19,2.74,7.85,2,3.01,,
October,,,,,,,,,2.86,4.75,3.61,3.24,6.36,6.54,6.76,1.22,0.7,3.69,,
November,,,,,,,,,7.62,10.36,3.57,0.86,3.61,7.42,0.99,9.64,3.39,1.88,,
December,,,,,,,,,2.5,3.52,3.5,4.89,1.76,3.83,4.89,3.92,3.85,8.25,,
Total,,,,,,,,,,37.97,35.46,31.03,39.55,35.96,43.89,53.04,35.54,44.61,,
,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is Erwood Station. Altitudes match. Gauge moved 1.5 miles NW at the end of 1948 to Bridge End but same Station No. used.,,,,,,,,,,,,,,,,,,,,
