ERWOOD-BRIDGE-END,,,,,,,,,,,,,,,,,,,,
Grid ref,SO072456,Long,-3.3562279,Lat,52.100925,Elevation,450,ft.,,,,,,,,,,,,
Station no,4220/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.58,1.29,5.32,5.33,1.44,4.06,4.17,5.92,4.59,4.54,6.4,6.76
February,,,,,,,,,1.91,8.14,4.94,1.46,2.62,4.51,1.96,0.43,5.01,7.4,0.25,5.66
March,,,,,,,,,1.53,1.98,5.21,2.46,3.82,3.45,3.73,1.94,4.06,1.08,3.75,2.83
April,,,,,,,,,3.28,3.52,4.69,2.9,4.07,0.53,1.5,1.26,0.22,1.28,5.48,3.84
May,,,,,,,,,3.42,2.19,2.69,4.71,2.17,2.54,5.64,0.84,2.48,3.68,1.79,1.73
June,,,,,,,,,1.21,1.38,0.9,2.76,1.69,5.13,6.67,3.92,1.89,3.97,2.24,2.61
July,,,,,,,,,0.78,4.6,1.72,1.44,3.54,2.57,3.05,3.69,4.18,3.47,3.11,3.65
August,,,,,,,,,2.42,6.06,5.22,6.01,3.91,5.4,1.52,4.43,4.57,3.32,0.72,2.76
September,,,,,,,,,1.97,6.23,3.3,3.37,4.84,3.91,2.39,4.04,7.57,7.5,0.26,4.92
October,,,,,,,,,8.22,2.15,1.14,5.55,2.88,7.08,2.71,2.58,3.45,5.42,4.66,8.14
November,,,,,,,,,5.85,7.22,9.71,3.23,3.71,9.52,3.83,1.96,3.85,2.72,6.98,9.39
December,,,,,,,,,5.51,2.71,4.54,4.57,1.58,4.59,5.91,4.61,3.88,4.83,9.43,7.14
Total,,,,,,,,,37.68,47.47,49.38,43.79,36.27,53.29,43.08,35.62,45.75,49.21,45.07,59.43
,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is adjacent ot Bridge End. Stated altitudes appears to have been carried over from previous position therefore OS figure used. In 1950 record Bridge End is crossed out and replaced with Cwrt Gwenddwr, which is 500m N at about 400 ft. altitude and not sure whether the gauge moved again or whether this is the location after the first move.",,,,,,,,,,,,,,,,,,,,
