EALING-FENNYMERE-CASTLEBAR,,,,,,,,,,
Grid ref,TQ172818,Long,-0.31208764,Lat,51.522965,Elevation,142,ft.,,
Station no,847/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.21,1.82
February,,,,,,,,,0.1,2.31
March,,,,,,,,,1.87,1.79
April,,,,,,,,,2.43,0.58
May,,,,,,,,,0.55,2.02
June,,,,,,,,,0.78,2.02
July,,,,,,,,,1.15,3.48
August,,,,,,,,,1.63,2.55
September,,,,,,,,,0.01,4.39
October,,,,,,,,,2.67,5.38
November,,,,,,,,,2.49,3.91
December,,,,,,,,,3.8,2.36
Total,,,,,,,,,19.69,32.61
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from 1950s record which is on a road called Castle Bar Park. No other information to confirm NGR. Altitude from OS map,,,,,,,,,,
