Rainfall at,SPRINKLING TARN
,
Station no,3623,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,28.83,,13.56,18.86,,,,,
February,,,16.36,,,,,-999.00,,,
March,10.90,,13.25,,,,5.25,,,-999.00,
April,,7.34,7.05,,,,,2.80,,7.00,
May,15.07,,4.64,,,8.35,2.25,8.56,10.75,6.63,
June,4.57,,11.47,,1.85,11.85,8.15,8.00,5.00,13.00,
July,2.97,,7.77,,8.75,,6.53,14.12,2.40,14.35,
August,2.87,,12.12,,,14.30,7.80,12.30,7.50,15.10,
September,11.25,,25.47,,15.61,7.14,12.35,4.36,14.00,19.40,
October,24.00,,18.00,12.42,,9.51,7.10,17.50,8.00,8.40,
November,6.73,,14.45,9.48,,,9.00,22.90,,,
December,4.65,,10.92,10.72,7.70,,15.00,14.44,,-999.00,
Total,,,170.33,,,,,116.53,86.67,102.53,
Calc annual,83.01,7.34,170.33,32.62,47.47,70.01,73.43,104.98,47.65,83.88,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,11.55,39.02,18.65,
