"BOSTON (AMBER HILL)",,,,,,,,,,,,
Grid ref,TF233469,Long,-0.163923,Lat,53.005227,,,,,,,
Station no,2539/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.21,1.63,0.92,1.04,,,,,,,,
February,3.20,0.32,1.74,2.24,,,,,,,,
March,2.97,2.94,0.88,1.78,,,,,,,,
April,2.12,1.13,2.43,0.32,,,,,,,,
May,3.00,1.88,2.68,2.81,,,,,,,,
June,1.54,2.32,2.53,1.90,,,,,,,,
July,0.70,0.43,1.21,1.73,,,,,,,,
August,3.62,1.86,3.05,3.63,,,,,,,,
September,1.29,2.25,0.75,2.01,,,,,,,,
October,1.18,2.36,1.99,2.48,,,,,,,,
November,3.49,2.43,1.71,4.05,,,,,,,,
December,1.06,1.68,0.69,1.90,,,,,,,,
Total,27.38,21.23,20.58,25.89,,,,,,,,
Calc annual,27.38,21.23,20.58,25.89,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
