HAMPTON-GLOUCESTER-ROAD,,,,,,,,,,
Grid ref,TQ138702,Long,-0.3648047,Lat,51.419401,Elevation,50,ft.,,
Station no,834/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.7,1.32,1.58,1.01,3.88,4.09,2.37,4.14,
February,,0.2,2.9,0.24,2.69,1.57,3.58,0.33,0.85,
March,,1.37,2.49,2.13,0.21,1,3.02,0.26,0.95,
April,,2.43,0.6,2.12,2.73,1.7,1.91,0.07,2.21,
May,,4.98,2.17,0.46,1.37,0.62,2.24,0.97,1.52,
June,,1.06,1.51,0.78,2.98,2.74,2.26,0.44,1.62,
July,,2.22,2.12,3.15,1.57,2.98,0.78,1.01,2.25,
August,,0.77,0.61,2.12,2.25,0.31,2.83,1.96,2.13,
September,,2.01,2.61,1.44,2.95,1.93,1.57,2.02,0.99,
October,,5.09,1.55,1.14,2.35,1.8,2.48,2.24,4.92,
November,,1.2,0.8,1.9,4.51,,1.25,2.95,4.79,
December,,0.45,0.42,4.74,2.24,,3.75,3.54,1.03,
Total,,23.48,19.1,21.8,26.86,,29.76,18.16,27.4,
,,,,,,,,,,
"NGR is 54 Gloucester Road, where the observer, N B Pamer, lived. Altitudes match.",,,,,,,,,,
