"HAYFIELD SANDY HEYS",,,,,,,,,,,,
Grid ref,SK072891,Long,-1.893182,Lat,53.398680,,,,,,,
Station no,2643/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.25,2.90,3.50,2.82,6.03,1.72,3.21,1.85,,
February,,,1.37,3.10,4.62,2.52,2.85,2.18,4.07,3.40,,
March,,,3.00,4.72,3.15,4.27,3.45,3.26,3.60,3.70,,
April,,,2.79,2.77,2.52,3.72,2.28,2.96,3.36,2.90,,
May,,,3.95,3.00,2.49,1.02,4.80,4.57,4.09,2.49,,
June,,,2.16,1.46,1.35,3.13,2.17,7.22,2.18,3.91,,
July,,,2.96,4.10,2.46,3.17,2.85,3.24,4.68,6.80,,
August,,,3.85,5.48,5.28,5.36,4.56,5.20,3.45,3.70,,
September,,,1.66,5.35,1.70,3.30,2.02,0.75,3.98,3.65,,
October,,,5.85,9.30,2.01,4.40,6.72,7.48,1.65,5.80,,
November,,,2.70,4.80,3.75,4.57,5.35,4.23,3.45,1.72,,
December,,,3.48,2.20,2.92,0.75,4.13,3.16,3.20,7.38,,
Total,,,37.02,49.18,35.75,39.03,47.21,45.97,40.92,47.30,,
Calc annual,0.00,0.00,37.02,49.18,35.75,39.03,47.21,45.97,40.92,47.30,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
