PEAK-FOREST,,,,,,,,,,
Grid ref,SK111792,Long,-1.8348727,Lat,53.309626,Elevation,1050,ft.,,
Station no,2681/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.54,4.74,1.9,4.95,3.15,7.26,2.9,5.03,,6.37
February,5.07,2.58,3.09,3.42,2.81,1.64,2.85,7.76,0.69,2.55
March,6.76,2.12,2.96,3.92,3.87,2.58,3.17,2.6,2.16,2.03
April,3.02,4.28,3.21,0.75,2.18,1.98,0.73,1.45,3.1,2.25
May,2.49,3.17,2.18,2.42,5.14,1.2,1.69,4.12,1.25,2.12
June,1.58,3.07,3.29,2.82,3.58,3.31,2.1,5.65,1.93,1.97
July,2.94,3.25,5.41,5.48,1.26,7.44,4.7,7.07,3.14,6.59
August,5.16,1.99,4.84,5.6,0.69,8.28,8.05,3.44,0.71,5.27
September,2.98,5,2.8,5.2,1.95,,8.48,5.68,0.13,4.16
October,1.33,5.95,2.26,6.59,3.64,3.37,4.07,4.75,3.94,6.19
November,11.25,3.63,3.03,7.95,3.07,1.86,2.48,1.64,6.23,6.74
December,6.67,4.5,1.91,7.2,4.61,5.96,5.57,4.57,7.58,4.95
Total,54.79,44.28,36.88,56.3,35.95,,46.79,53.76,,51.19
,,,,,,,,,,
NGR is from the 1950s record and is in the Peak Forest area. Altitudes match,,,,,,,,,,
