"RAMSEY (TOWN HALL)",,,,,,,,,,,,
Grid ref,SC449945,Long,-4.386268,Lat,54.322441,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.89,,,,4.25,1.62,5.77,1.03,2.96,1.95,,
February,6.89,,,,4.13,2.34,3.37,2.29,1.84,2.05,,
March,0.63,,,,2.94,4.02,1.43,2.60,3.95,4.63,,
April,2.04,,,,2.14,1.95,1.14,2.74,2.62,5.32,,
May,4.07,,,,1.75,1.75,5.03,4.17,2.29,1.04,,
June,2.85,,,,2.71,3.03,1.03,2.98,2.38,2.19,,
July,1.59,,,,3.10,1.01,2.64,0.89,2.82,4.95,,
August,7.19,,,,4.37,6.47,3.91,2.81,2.98,2.38,,
September,2.05,,,,3.78,1.87,0.62,0.89,4.10,3.71,,
October,8.10,,,,1.79,3.01,8.42,6.77,2.31,11.16,,
November,6.34,,,,2.89,5.89,2.60,4.37,3.26,1.37,,
December,6.74,,,,3.12,2.24,3.31,5.35,6.19,6.09,,
Total,54.38,,,,36.97,35.20,39.27,36.89,37.70,46.84,,
Calc annual,54.38,0.00,0.00,0.00,36.97,35.20,39.27,36.89,37.70,46.84,,
Difference,0.00,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
